title,view,tags
کنایه تند به فجرسپاسی: ما بزن زیرش نیستیم!,12500,"شهر راز شیراز, لیگ آزادگان, فوتبال"
اعلام برنامه سال مرگ و زندگی والیبال ایران,23900,"تیم ملی والیبال ایران, فدراسیون والیبال, والیبال"
طعنه ستاره سابق بارسا به بلینگام: خوش شانس است!,38100,"رئال مادرید, بارسلونا, سرخیو آگوئرو, جود بلینگام, فوتبال"
"همه به عربستان می‌روند، ستاره الهلال در مسیر بازگشت!",36000,"الهلال, نیوکسل, لیگ حرفه‌ای عربستان, روبن نوس, فوتبال"
مصدومیت شوامنی ستاره رئال را خوشحال کرد!,27900,"رئال مادرید, لوکا مودریچ, اورلین شوامنی, کارلو آنچلوتی, لالیگا اسپانیا, فوتبال"
احترام بارسا به ستاره بزرگ: حق داری عصبانی باشی,26900,"رئال مادرید, بارسلونا, ایلکای گوندوگان, الکلاسیکو, لالیگا اسپانیا, فوتبال"
اختصاصی: بازگشت کیانوش از سقف وزنه برداری ایران! ,107600,"کیانوش رستمی, تیم ملی وزنه برداری, وزنه برداری"
ادعای عجیب تن‌هاخ: همه چیز تقصیر بازیکنان است!,24900,"منچستریونایتد, منچسترسیتی, اریک تن هاخ, لیگ برتر انگلیس, فوتبال"
رئیس و آزمون در کنار پورعلی‌گنجی(عکس),31500,"پرسپولیس, مرتضی پورعلی گنجی, لیگ برتر ایران, فوتبال"
هفت نبرد مهم هفته سوم به این داوران رسید,2000,"لیگ برتر والیبال, والیبال"
سکوت معنی‌دار: یحیی نگران جانشین بیرانوند,32900,"پرسپولیس, علیرضا بیرانوند, لیگ برتر ایران, فوتبال"
واکنش فدراسیون به اعزام یزدانی مصدوم به هانگژو!,16000,"حسن یزدانی, کشتی آزاد, تیم ملی کشتی آزاد, فدراسیون کشتی, بازی های آسیایی هانگژو, فوتبال"
حسینی- نکونام قبل از روز سخت آبی‌ها(عکس),20500,"آلومینیوم اراک, مجتبی حسینی, لیگ برتر ایران, فوتبال"
شکست لیکرز در بیستمین ساگرد نخستین بازی پادشاه,2800,"لس آنجلس لیکرز, گلدن استیت واریرز, لیگ حرفه ای بسکتبال NBA, لبرون جیمز, بسکتبال"
تأکید سازمان لیگ: در وزن پایین کشتی نگیرید!,2500,"لیگ برتر کشتی, کشتی"
کسب اولین مدال تیمی تراپ در آسیا,827000,تیراندازی
باشگاه استقلال: محرومیت نکونام قانونی نیست!,28700,"استقلال, فرشید سمیعی, جواد نکونام, لیگ برتر ایران, فوتبال"
توضیحات مهربان از چرایی اعزام حسن یزدانی به هانگژو,3100,"حسن یزدانی, کشتی آزاد, تیم ملی کشتی آزاد, کشتی"
معافیت مدال‌آوران از حضور در مرحله اول چرخه فرنگی,1400,"کشتی فرنگی, تیم ملی کشتی فرنگی, کشتی"
رستمیان: از عملکردم در قهرمانی آسیا راضی‌ام,1800,"تیراندازی با اسلحه, هانیه رستمیان, بازی های آسیایی هانگژو, تیراندازی"
کمانداران از نزدیک مدال هم رد نشدند,1600,"تیر و کمان, تیراندازی با کمان"
کشتی فرنگی زیر 23 سال جهان| ترکیه قهرمان شد,5900,"کشتی فرنگی, تیم ملی کشتی فرنگی, کشتی"
کسب اولین مدال انفرادی تراپ در آسیا توسط یگانه,1500,تیراندازی
آماده دریافت جایزه: ستاره رئال در مراسم توپ طلا,36600,"رئال مادرید, توپ طلا, جود بلینگام, لالیگا اسپانیا, فوتبال"
لوکس‌ترین تورنمت سال افتضاح است!,9000,تنیس
"ریکاوری مهمتر از ناهار چرب و نرم، نیاز اصلی پرسپولیس",16900,"ملوان, پرسپولیس, یحیی گل محمدی, لیگ برتر ایران, فوتبال"
گواردیولا به‌‌سختی گوندوگان را تنبیه می‌کرد,32700,"رئال مادرید, بارسلونا, ایلکای گوندوگان, الکلاسیکو, لالیگا اسپانیا, فوتبال"
سخنرانی ژاوی لو رفت: ما بهتر از رئال بودیم!,20600,"رئال مادرید, بارسلونا, ژاوی, الکلاسیکو, لالیگا اسپانیا, فوتبال"
میلاد خیلی زود در روسیه محبوب شد (عکس),13800,"میلاد عبادی پور, والیبال"
بازخواست یک ساعته ژاوی بعد از ال‌کلاسیکو,34200,"رئال مادرید, بارسلونا, ژاوی, الکلاسیکو, خوان لاپورتا, لالیگا اسپانیا, فوتبال"
35+1 مربی سپاهان در تاریخ 70 ساله(عکس) ,14500,"سپاهان, ژوزه مورایس, لیگ برتر ایران, فوتبال"
دهان مودریچ هم باز ماند: عجب خریدی!,66100,"رئال مادرید, بارسلونا, لوکا مودریچ, الکلاسیکو, جود بلینگام, لالیگا اسپانیا, فوتبال"
یادداشت: چگونه بارسا ال‌کلاسیکوی برنده را باخت,25300,"رئال مادرید, بارسلونا, الکلاسیکو, لالیگا اسپانیا, فوتبال"
علت فریادهای مخفیانه تارتار بعد از بازی پرسپولیس!,29100,"ملوان, پرسپولیس, یحیی گل محمدی, مهدی تارتار, لیگ برتر ایران, فوتبال"
طعنه پدیده سیتی به یونایتد: منچستر آبی است! (عکس),26700,"منچسترسیتی, لیگ برتر انگلیس, جرمی دوکو, فوتبال"
رئال یا بارسا: چه تیمی بیشترین توپ طلا را دارد,50300,"رئال مادرید, بارسلونا, لیونل مسی, ریوالدو, کریستیانو رونالدو, رونالدینیو, توپ طلا, آلفردو دی استفانو, رونالدو نازاریو, لوئیس فیگو, فوتبال"
پرسپولیس جواب بیانیه شبانه استقلال را نمی‌دهد,33600,"پرسپولیس, استقلال, لیگ برتر ایران, فوتبال"
خط و نشان به سبک سه غول ترسناک والیبال ایتالیا,8600,والیبال
نبرد خونین: خطر از بیخ گوش گروسو گذشت! (عکس),9100,"مارسی, لیون, گروسو, لیگ یک فرانسه, فوتبال"
تلاش بی‌نتیجه پلیس: پدر دیاز در کلمبیا نیست!,15800,"لیورپول, لوئیز دیاز, لیگ برتر انگلیس, فوتبال"
پیام هایی روی اینستاگرامم دیدم که متاسف شدم!,10000,"تکواندو زنان, ناهید کیانی, بازی های آسیایی هانگژو, تکواندو"
بدترین آمار شانس گل پرسپولیس: ملوان شبیه النصر!,15000,"ملوان, پرسپولیس, یحیی گل محمدی, مهدی تارتار, لیگ برتر ایران, فوتبال"
مرگ پس از بریدگی گردن با تیغ کفش اسکیت,14500,"هاکی روی یخ, هاکی"
تلخ‌ترین روزهای مرد محبوب: ولاسکو در آستانه اخراج!,18100,"خولیو ولاسکو, والیبال"
ژاوی اعلام کرد: این بازیکن تکان نمی‌خورد,37400,"تیم ملی اسپانیا, رئال مادرید, بارسلونا, ژاوی, لالیگا اسپانیا, فرمین لوپز مارین, فوتبال"
شورش علیه انتقادها: ستاره لیورپول کلید قهرمانی است,13500,"لیورپول, داروین نونیز, یورگن کلوپ, لیگ برتر انگلیس, فوتبال"
کلکسیون رویایی یک ایرانی: در حد مسی و رونالدو(عکس),24900,"تیم ملی فوتسال ایران, علی اصغر حسن زاده, فوتسال مس سونگون, فوتسال"
رویای نیمه تمام عیسی در دقیقه 90 (عکس),16400,"سپاهان, عیسی آل کثیر, لیگ برتر ایران, فوتبال"
پاس گل دروازه‌بان رقیب پرسپولیس با ضربه سر!,26800,"الدحیل, لیگ ستارگان قطر, فوتبال"
توهین ستاره رئال به داور: به من دست نزن روانی!,30800,"رئال مادرید, بارسلونا, الکلاسیکو, وینیسیوس جونیور, لالیگا اسپانیا, فوتبال"
 رادوشوویچ منفورترین چهره مدیران پرسپولیس!,34100,"پرسپولیس, بوژیدار رادوشوویچ, لیگ برتر ایران, فوتبال"
جنگ بر سر طارمی: میلان و اینتر بی‌خیال نمی‌شوند,45100,"آث میلان, اینتر, پورتو, مهدی طارمی, لیگ برتر پرتغال, فوتبال"
10 سرقت بزرگ توپ طلا در تاريخ,68100,"رئال مادرید, لیونل مسی, توپ طلا, فوتبال"
مسی در حسرت: سوپر توپ طلا را به او ندادند,445800,"رئال مادرید, بارسلونا, منچسترسیتی, تیم ملی آرژانتین, لیونل مسی, توپ طلا, آلفردو دی استفانو, جام جهانی 2022 قطر, ارلینگ هالند, جام جهانی , فوتبال"
جنجال در بارسا: خشم بازیکنان از انتقاد ستاره جدید!,34400,"بارسلونا, ایلکای گوندوگان, لالیگا اسپانیا, فوتبال"
یک ترابی جدید در لیگ برتر ایران!,37500,"نساجی مازندران, محمدرضا ترابی, لیگ برتر ایران, فوتبال"
"سنگ، کاغذ، قیچی ستاره ایتالیایی وسط مسابقه",17000,"ماریو بالوتلی, فوتبال"
طعنه ستاره ایتالیایی به حریف: من توقف ناپذیرم!,11600,"یوونتوس, هلاس ورونا, مویزه کین, ماسیمیلیانو آلگری, سری آ ایتالیا, فوتبال"
تمجید کاپیتان اینتر از رفتار طرفداران با لوکاکو! ,17000,"اینتر, لائوتارو مارتینز, سری آ ایتالیا, فوتبال"
شکایت از رئال به خاطر افراطی‌های جنجال‌ساز,15000,"رئال مادرید, الکلاسیکو, لالیگا اسپانیا, لیگ قهرمانان اروپا, فوتبال"
حمله به پپ و هالند: فقط دنبال ادا درآوردن هستید!,35500,"منچستریونایتد, منچسترسیتی, ارلینگ هالند, پپ گواردیولا, لیگ برتر انگلیس, روی کین, فوتبال"
ستاره‌های تراکتور پشت خمس درآمدند!,64300,"تراکتور, لیگ برتر ایران, پاکو خمس, فوتبال"
توپ طلای بعدی به یک رئالی می‌رسد,42000,"رئال مادرید, بارسلونا, لیونل مسی, کریستیانو رونالدو, لوکا مودریچ, کریم بنزما, الکلاسیکو, وینیسیوس جونیور, جود بلینگام, آردا گولر, رودریگو, لالیگا اسپانیا, اندریک, فوتبال"
"سپاهان و مورایس، جنجالی که به لیگ شوک داد!",89100,"سپاهان, ژوزه مورایس, لیگ برتر ایران, فوتبال"
می‌خواهند این ستاره را برای همیشه نگه دارند!,15200,"بایرن مونیخ, جمال موسیالا, فوتبال"
ترخیص پورعلی‌گنجی با حضور کادر تیم ملی ,18300,"مرتضی پورعلی گنجی, لیگ برتر ایران, سعید الهویی, فوتبال"
جلسه سرنوشت‌ساز برای والیبال ایران آغاز شد,8100,"تیم ملی والیبال ایران, محمدرضا داورزنی, فدراسیون والیبال, والیبال"
حیرت ژاوی از افت غیرمنتظره این سه بازیکن,70100,"رئال مادرید, بارسلونا, ژاوی, الکلاسیکو, ژوائو فلیکس, فران تورس, الکس بالده, اوریل رومئو, لالیگا اسپانیا, فوتبال"
فرشید اسماعیلی تا آخرین کالری انرژی (عکس),16500,"نساجی مازندران, فرشید اسماعیلی, لیگ برتر ایران, فوتبال"
رسمی: محرومیت سه ساله برای رئیس جنجالی,29300,"فوتبال زنان, فیفا, تیم ملی زنان اسپانیا, لوئیس روبیالس, فوتبال"
زنده‌روح: کاراکتر سرمربی یونانی عالی است,3800,"گل گهرسیرجان, احمدرضا زنده روح, لیگ برتر ایران, ماریوس اوزونیدوس, فوتبال"
ترمز آقای گل در قائمشهر کشیده شد! ,6900,"سپاهان, نساجی مازندران, رضا اسدی, لیگ برتر ایران, فوتبال"
تراکتور و جشن روز مربی برای خمس (عکس),14100,"تراکتور, لیگ برتر ایران, پاکو خمس, فوتبال"
اعلام داوران هفته دوازدهم لیگ برتر فوتسال ,1200,"لیگ برتر فوتسال, فوتبال"
یک استقلالی کاندیدای بهترین بازیکن ماه امارات,24800,"الاتحاد کلبا, مهدی قایدی, لیگ برتر امارات, فوتبال"
بلانکو به دنبال یادآوری رزومه لالیگایی,14700,"استقلال, لیگ برتر ایران, گوستاوو بلانکو, فوتبال"
سقوط از ارتفاع 20 متری: تراژدی در ورزشگاه مارادونا!,21600,"ناپولی, سری آ ایتالیا, فوتبال"
ستاره رئال از گاوی رفع اتهام کرد (عکس),34700,"رئال مادرید, الکلاسیکو, پابلو گاویرا, اورلین شوامنی, کارلو آنچلوتی, لالیگا اسپانیا, فوتبال"
تورس و یک نمایش و شادی لالیگایی دیگر (عکس) ,12200,"گل گهرسیرجان, لیگ برتر ایران, روبرتو تورس, فوتبال"
یحیی به باشگاه: شکایت از داور را پس بگیرید!,38200,"ملوان, پرسپولیس, یحیی گل محمدی, لیگ برتر ایران, فوتبال"
داورزنی آدرس سرمربی جدید تیم ملی را اعلام کرد,83500,"تیم ملی والیبال ایران, محمدرضا داورزنی, فدراسیون والیبال, والیبال"
حضور دانیال با چشم نیمه باز در تمرین پرسپولیس,20100,"پرسپولیس, دانیال اسماعیلی فر, لیگ برتر ایران, فوتبال"
ریکاوری تیم ملی زنان بعد از جدال سخت (عکس),6000,"فوتبال زنان, ورزش زنان, تیم ملی زنان ایران, انتخابی المپیک زنان, فوتبال"
ملوان - پرسپولیس: چگونه همه درها را قفل کنیم,13500,"ملوان, پرسپولیس, لیگ برتر ایران, فوتبال"
تدابیر ویژه شمس‌آذر برای میزبانی از استقلال,28900,"استقلال, شمس آذر قزوین, لیگ برتر ایران, فوتبال"
کاش هیچ بازیکن اسپانیایی به لیگ برتر نیاید!,31300,"منچستریونایتد, منچسترسیتی, فردریک لیونبرگ, رودری, پپ گواردیولا, لیگ برتر انگلیس, راسموس هویلوند, فوتبال"
اشد مجازات در انتظار عاملان آشوب در فرانسه,8300,"مارسی, لیون, گروسو, لیگ یک فرانسه, فوتبال"
غیبت عجیب قایدی در دیدار با قهرمان امارات!,19300,"شباب الاهلی امارات, الاتحاد کلبا, فرهاد مجیدی, مهدی قایدی, لیگ برتر امارات, فوتبال"
اضافه شدن رشته پد بال به فدراسیون انجمنهای ورزشی,1900,Without any tag
مدیرعامل نفت: سرمربی ما مقابل پرسپولیس ویسی است,11600,"صنعت نفت آبادان, لیگ برتر ایران, عبدالله ویسی, فوتبال"
